Year,Depreciation_Billions_USD
1967,5.465
1968,5.871
1969,6.197
1970,6.546
1971,7.052
1972,7.538
1973,8.544
1974,10.112
1975,11.909
1976,13.351
1977,15.018
1978,16.503
1979,18.972
1980,21.059
1981,23.127
1982,22.937
1983,22.380
1984,19.443
1985,17.859
1986,16.367
1987,15.785
1988,15.842
1989,16.244
1990,16.215
1991,16.249
1992,16.327
1993,16.225
1994,16.429
1995,16.845
1996,16.981
1997,17.132
1998,17.355
1999,17.662
2000,17.849
2001,18.131
2002,18.630
2003,21.442
2004,23.081
2005,24.933
2006,26.238
2007,27.028
2008,16.956
2009,16.178
2010,17.555
2011,18.489
2012,34.251
2013,38.056
2014,50.317
2015,41.333
2016,44.445
2017,36.314
2018,29.968
2019,28.051
2020,28.894
2021,24.102
2022,32.794
2023,33.206
2024,31.354
