Year,Source,HS8701_All_Tractor_Import_USD,HS8701_All_Tractor_Import_Units,HS8701_All_Tractor_Export_USD,HS8701_All_Tractor_Export_Units,HS8701_All_Tractor_Trade_Balance_USD,Ag_Tractor_Import_USD,Ag_Tractor_Import_Units,Ag_Tractor_Export_USD,Ag_Tractor_Export_Units,Ag_Tractor_Trade_Balance_USD,Ag_Tractor_Avg_Import_Price_USD,Ag_Tractor_Avg_Export_Price_USD,HS8433_All_Harvest_Import_USD,HS8433_All_Harvest_Export_USD,HS8433_All_Harvest_Trade_Balance_USD,Combine_Import_USD,Combine_Import_Units,Combine_Export_USD,Combine_Export_Units,Combine_Trade_Balance_USD,Combine_Avg_Import_Price_USD,Combine_Avg_Export_Price_USD
2000,UN Comtrade,3475619823,163918,2606637039,69142,-868982784,,,,,,,,578959994,1546445106,967485112,,,,,,,
2001,UN Comtrade,2520490073,139883,1976346379,56007,-544143694,,,,,,,,627613522,1396694736,769081214,,,,,,,
2002,UN Comtrade,3237171962,185365,2385044906,61760,-852127056,,,,,,,,671732979,1508916501,837183522,,,,,,,
2003,UN Comtrade,3264208251,213397,2712581478,63717,-551626773,,,,,,,,864993164,1707315183,842322019,,,,,,,
2004,UN Comtrade,4914007033,252360,3397441790,73593,-1516565243,,,,,,,,1021103242,1921937985,900834743,,,,,,,
2005,UN Comtrade,5816640547,255310,4058808564,92095,-1757831983,,,,,,,,1132984986,2395235359,1262250373,,,,,,,
2006,UN Comtrade,6344055416,243969,4653694992,95417,-1690360424,,,,,,,,1145651786,2348998550,1203346764,,,,,,,
2007,UN Comtrade,4046160180,192132,4860596631,102914,814436451,,,,,,,,1363941539,2697577510,1333635971,,,,,,,
2008,UN Comtrade,5260250772,191624,5889456231,139805,629205459,,,,,,,,1667668382,3337423140,1669754758,,,,,,,
2009,UN Comtrade,4388308289,132787,3711067144,79459,-677241145,,,,,,,,1395260038,2843286269,1448026231,,,,,,,
2010,Census Bureau,5378733617,173540,4493000161,88878,-885733456,2226452551,140023,1851751137,44816,-374701414,15901,41319,1469144745,3151028395,1681883650,81447594,2225,1029047060,7049,947599466,36606,145985
2011,Census Bureau,7068653653,185674,6578065520,112982,-490588133,2488206239,149560,2406337822,53058,-81868417,16637,45353,1728046270,3926574370,2198528100,179317113,16107,1395712239,9296,1216395126,11133,150141
2012,Census Bureau,7944642801,206730,8112284619,113900,167641818,2927953903,155529,2708310646,49810,-219643257,18826,54373,2007518503,4613976162,2606457659,137383994,3719,1743419357,10001,1606035363,36941,174325
2013,Census Bureau,8768212401,185608,6204783347,108449,-2563429054,3190837993,143289,2351222440,44503,-839615553,22269,52833,2333729166,4057425798,1723696632,155305334,7426,1517963100,9019,1362657766,20914,168307
2014,Census Bureau,11123573531,,6074008659,,-5049564872,3420308181,153417,2315601510,49421,-1104706671,22294,46855,2274189479,3631075813,1356886334,96877433,4958,1169201806,7003,1072324373,19540,166957
2015,Census Bureau,12205690368,245459,5076691968,88065,-7128998400,3318024222,163833,1737524543,39852,-1580499679,20252,43599,2111705536,3315518737,1203813201,85595646,4286,1137634843,6292,1052039197,19971,180807
2016,Census Bureau,8219961948,190251,3972605630,81773,-4247356318,2929099260,146103,1593789832,35493,-1335309428,20048,44904,1985559307,2924815675,939256368,99655859,3512,824402129,5651,724746270,28376,145886
2017,Census Bureau,9275504077,198424,4629377052,90844,-4646127025,2868162788,144712,1943071284,40158,-925091504,19820,48386,2037196511,3278264411,1241067900,110520300,3320,963471726,5776,852951426,33289,166806
2018,Census Bureau,12615519818,246867,5843002175,93379,-6772517643,3274244457,167656,2156164686,44008,-1118079771,19530,48995,2343431227,3420032901,1076601674,118621520,2282,1117193925,5806,998572405,51981,192421
2019,Census Bureau,13418382209,264747,6017740234,91328,-7400641975,3409785212,188709,2021726591,40327,-1388058621,18069,50133,2499945898,3197478609,697532711,126716546,1924,1180043212,5501,1053326666,65861,214514
2020,Census Bureau,9986097737,217397,3971479448,71672,-6014618289,3451755113,191456,1633344091,35683,-1818411022,18029,45774,2595256447,2857620647,262364200,89480639,1988,916872838,5150,827392199,45010,178034
2021,Census Bureau,13131741560,293134,5281217875,98912,-7850523685,4879139227,266312,2135318608,48328,-2743820619,18321,44184,3329354538,3607033015,277678477,190997644,1131,1089240690,7069,898243046,168875,154087
2022,Census Bureau,18658449579,379030,6301205568,101474,-12357244011,6856060590,304442,2567366479,52432,-4288694111,22520,48966,4418126061,4833569684,415443623,312991875,3071,1426066373,7007,1113074498,101919,203520
2023,Census Bureau,19599492042,297214,7925489898,100061,-11674002144,6374536148,204203,3064783811,48318,-3309752337,31217,63429,4264212506,5267061256,1002848750,418037790,3086,1786264261,6967,1368226471,135463,256389
2024,Census Bureau,15626629362,229482,6687449726,81681,-8939179636,4973947698,147735,2385624482,35432,-2588323216,33668,67330,4152384921,4226799609,74414688,391149571,2301,1478246522,5700,1087096951,169991,259341
